product,avg_neg,avg_neu,avg_pos,avg_compound,review_count,positive_reviews,negative_reviews,neutral_reviews,overall_sentiment
"Minimalist Gentle Oat Face Wash | 6% Oat Extract With Hyaluronic Acid For Sensitive Skin | Hydrating, Sulphate Free, Non-Drying, Non-Irritant, Gentle Face Cleanser, 120 ml 4 Fl Oz (Pack of 1)",0.0556,0.6788,0.2656,0.4576,100,77,12,11,Positive
"Minimalist 2% Salicylic Acid Face Wash For Oily & Acne Prone Skin | Sulphate free | Anti Acne Face Wash With LHA & Zinc For Men & Women, 100 ml 3.4Oz (Pack of 1)",0.0315,0.6285,0.3401,0.458,99,76,9,14,Positive
"Torriden DIVE IN Cleansing Foam Face Wash 150ml (5.07 fl.oz.) | Hydrating Daily Facial Cleanser for All and Sensitive Skin | Hyaluronic Acid, Panthenol, Allantoin",0.0392,0.6968,0.2516,0.589,80,70,3,7,Positive
"Paulas Choice SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant, Daily Facial Exfoliator for Blackheads, Enlarged Pores, Wrinkles & Fine Lines, Fragrance-Free & Paraben-Free, Full Size - 118 ml",0.0463,0.7078,0.2459,0.4449,100,75,14,11,Positive
"Rockstar STONE CARE SPRAY 750ml- Maintain All Stone Surfaces inc Kitchen Benchtops, Bathroom Vanities & Marble Tables. Added Sealant Protection, PH Neutral & Antibacterial- Cuts though grease smears",0.028,0.6405,0.3315,0.8381,2,2,0,0,Positive
"La Roche-Posay Mela B3 Gel Cleanser | Formulated With Melasyl + Niacinamide + PHA | Ant-ageing Face Wash For Discoloration, Dark Spots & Post Acne Marks | Dark Spot Corrector | Oil Free & Soap Free | 200ml",0.0224,0.6042,0.3734,0.5975,100,90,2,8,Positive
"CETAPHIL Gentle Skin Cleanser 125ml, Hypoallergenic Face Wash for all skin types, With Hydrating Glycerin & Panthenol, Suitable for Sensitive Skin, Dermatologist Tested",0.0469,0.6508,0.3023,0.2753,10,6,3,1,Positive
"CeraVe Hydrating Cream To Foam Cleanser Face Wash For Normal to Dry Skin, Hydrates + Removes Makeup without Disrupting the Protective Skin Barrier, Hyaluronic Acid + Amino Acids + Ceramides, 236ml",0.0282,0.669,0.3028,0.5341,99,83,9,7,Positive
numbuzin No.3 Cleansing Foam | Rice Enzyme Skin Softening Cleansing Foam | 170ml,0.0,0.6763,0.3237,0.4968,3,2,0,1,Positive
"CeraVe Hydrating Foaming Oil Cleanser Face Wash For Normal to Very Dry Skin, Suitable For Baby & Atopic-prone Skin, For Face & Body, Squalane + Triglyceride + Ceramides, Fragrance Free, 236ml",0.0251,0.6765,0.2784,0.5762,100,87,5,8,Positive
"La Roche-Posay Cleanser | Toleriane Caring Wash Cleanser, 200ml",0.0603,0.6808,0.2589,0.4336,41,32,5,4,Positive
SKIN1004 Madagascar Centella Light Cleansing Oil 200ml,0.0376,0.6683,0.2941,0.5879,100,86,9,5,Positive
"SOME BY MI AHA BHA PHA 30 Days Miracle Acne Clear Body Cleanser, 400 g (Pack of 1)",0.0498,0.737,0.2131,0.4643,99,77,17,5,Positive
Avene Eau Thermale Avène Tolerance Extremely Gentle Cleanser 200ml - Cleanser for Hypersensitive Skin,0.0331,0.6708,0.2961,0.5389,99,85,8,6,Positive
"Cetaphil Gentle Cleanser 236 ml, For All Skin Types, Dermatologist Tested for Sensitive Skin, Fragrance Free, Oil Free, Paraben Free, Hypoallergenic, Formulated with Niacinamide",0.0597,0.7082,0.2318,0.3381,4,3,1,0,Positive
"Olay Total Effects Foaming Cleanser, 100g",0.0318,0.6708,0.2973,0.4665,12,10,1,1,Positive
Garnier Skin Active Vitamin C* Brightening Foam Wash 100ml,0.0267,0.6192,0.3541,0.2986,17,12,3,2,Positive
Neutrogena Oil Free Acne Wash Pink Grapefruit Face Cleanser 175ml|For acne-prone skin|With Salicylic Acid|Eliminates oil & dirt|Clears breakouts & blackheads|Doesn’t over-dry the skin|Prevents pimples,0.0487,0.6402,0.2981,0.4263,77,59,11,7,Positive
"Eau Thermale Avene Cleanance Cleansing Gel 400ml - Cleanser for Oily skin, Face and Body, Sebum-Regulating, Soap Free, Paraben Free, Biogradable Formula",0.0237,0.6189,0.3574,0.5352,98,85,6,7,Positive
Anua Hearleaf Pore Control Cleansing Oil 200 ml,0.0659,0.7078,0.2263,0.4183,99,72,22,5,Positive
